freq,Base,H35L,H35R,H50L,H50R,BE50L,BE50R,BE70L,BE70R,BE50BL,BE70BL
0.484375,0.24676926675802294,0.1960314599095228,0.1423253906803501,0.23666765273560444,0.2088636766107415,0.27263215837512494,0.23143824933260584,0.28169554827589927,0.28183872424284295,0.24327329415480403,0.20509031464336971
0.5,0.2399903310998012,0.3215775951782034,0.1959942439984299,0.26312618384999226,0.2122695368227449,0.29513729290100865,0.2321625273195938,0.24415217782544968,0.2993882243875183,0.23439796768989948,0.21776964816728955
0.515625,0.2502975924339585,0.2545218039990837,0.18899907414010048,0.2540764221649832,0.24033681573151217,0.263940697931388,0.1944444443290592,0.19679924540741164,0.23478225312295548,0.2179274455512434,0.21846120373633837
0.53125,0.2820155459972722,0.250759535714838,0.1485346694335309,0.24176976932181846,0.18486060068630525,0.2697893588246225,0.25664367061546856,0.19714610069412697,0.24851556249534765,0.22660019942989035,0.19859080851706434
0.546875,0.2598087680072445,0.22864774624395953,0.1668715764271474,0.27658751135227955,0.18488040339631476,0.32238901728314184,0.3053806941063859,0.1723993260490786,0.19786900892279963,0.22203484003032306,0.23096366398238355
0.5625,0.2873185591119046,0.2192944681510674,0.22109069266466072,0.23812524929447676,0.22005290295285398,0.3266234091559561,0.2571813063358057,0.21327265260533762,0.2907481970640126,0.17177518119604968,0.19697567804328614
0.578125,0.29844009644232133,0.2085221851885051,0.16039839856781263,0.24377842700415198,0.21657335418912313,0.2838996625195394,0.20219196216827343,0.2051982719909458,0.2452011871848522,0.17803477969132472,0.2031080981955487
0.59375,0.30898873913801195,0.209893684500341,0.20988059338950232,0.19698022497814743,0.2201814704989525,0.21487883228491442,0.21693283131565982,0.2313889297706446,0.2061609703649788,0.21810246159681548,0.20780849385493383
0.609375,0.3299897235375886,0.19907480759433133,0.2402556465614072,0.20055508143509718,0.25632812147654305,0.24063648529840034,0.1821426541697286,0.20918630676184713,0.28331573242823427,0.25146766974439,0.1809374345980716
0.625,0.3161744461471843,0.27357370736828507,0.1949129853779195,0.2838584799295146,0.20907830116429924,0.2518556822204766,0.1991423737746384,0.2265622287907468,0.31230970662126845,0.22669034977567046,0.17801434302678085
0.640625,0.26312783587652055,0.21303837859180597,0.1729534063291632,0.23026449521533526,0.18623839985537427,0.2508247589626724,0.21937758548352349,0.23482690176126542,0.3017066356403285,0.2079818861476886,0.18716134627304692
0.65625,0.27806851993443665,0.21175293387785327,0.1995868640611733,0.2366662565523074,0.18822616763103894,0.1943636744968138,0.2262392821571369,0.1902401079766656,0.26397868552834136,0.26367743486649753,0.23448951554717315
0.671875,0.267318427523975,0.23184882814876556,0.21792761572519517,0.2362018205633818,0.2107790765642538,0.23422392778597861,0.2672660897327971,0.16196959207261377,0.24907861846331864,0.21215922102127813,0.26198718026397755
0.6875,0.25305582627062234,0.1663997646872067,0.16926645624372386,0.2234935466416536,0.17882817724212804,0.2139796097199997,0.28956012142177556,0.22622558159288222,0.2569043474871793,0.21513026108948813,0.20962558555983368
0.703125,0.23821200236303727,0.2006401756569654,0.17467205183788417,0.17291003585264544,0.17581589073498013,0.22284751532476865,0.2528539450717381,0.22454727158606105,0.2661434523267074,0.1894561013885489,0.18733305204923892
